n,p,lambda,rho,S
100000,5e-05,1.06,4,0.99999
100000,5e-05,1.04,4,0.99999
100000,5e-05,1.01,4,0.99999
100000,5e-05,1.07,4,0.99999
100000,5e-05,1.06,4,0.99999
100000,5e-05,1.01,4,0.99532
100000,5e-05,1.07,4,0.99998
100000,5e-05,1.09,4,0.99976
100000,5e-05,1.02,4,0.99999
100000,5e-05,1.09,4,0.99998
100000,5e-05,1.01,4,0.99997
100000,5e-05,1.01,4,0.99999
100000,5e-05,1.04,4,0.99999
100000,5e-05,1.04,4,0.99989
100000,5e-05,1.0,4,0.99999
100000,5e-05,1.02,4,0.99991
100000,5e-05,1.05,4,0.99974
100000,5e-05,1.02,4,0.99998
100000,5e-05,1.01,4,0.99999
100000,5e-05,0.8,4,0.99999
100000,5e-05,8.2,4,0.00431
100000,5e-05,5.5,4,0.00383
100000,5e-05,6.9,4,0.00441
100000,5e-05,9.8,4,0.00454
100000,5e-05,6.8,4,0.00391
100000,5e-05,4.0,4,0.00314
100000,5e-05,10.0,4,0.00472
100000,5e-05,5.0,4,0.00339
100000,5e-05,8.3,4,0.00436
100000,5e-05,7.9,4,0.00438
100000,5e-05,9.7,4,0.00468
100000,5e-05,7.9,4,0.00414
100000,5e-05,4.6,4,0.99999
100000,5e-05,9.2,4,0.00475
100000,5e-05,2.7,4,0.00418
100000,5e-05,8.5,4,0.00462
100000,5e-05,0.7,4,0.99998
100000,5e-05,6.6,4,0.00387
100000,5e-05,5.5,4,0.00373
100000,5e-05,9.1,4,0.00438
100000,5e-05,3.5,4,0.99997
100000,5e-05,3.3,4,0.99999
100000,5e-05,9.3,4,0.00455
100000,5e-05,5.7,4,0.00361
100000,5e-05,9.4,4,0.00471
100000,5e-05,7.2,4,0.00434
100000,5e-05,8.0,4,0.00403
100000,5e-05,0.6,4,0.99998
100000,5e-05,2.4,4,0.0051
100000,5e-05,9.5,4,0.005
100000,5e-05,4.9,4,0.00356
100000,5e-05,1.4,4,0.99999
100000,5e-05,9.8,4,0.00473
100000,5e-05,8.2,4,0.00439
100000,5e-05,5.0,4,0.0037
100000,5e-05,9.8,4,0.00441
100000,5e-05,2.8,4,0.00371
100000,5e-05,7.4,4,0.99999
100000,5e-05,5.5,4,0.00384
100000,5e-05,9.5,4,0.00468
100000,5e-05,5.2,4,0.00358
100000,5e-05,8.1,4,0.00447
100000,5e-05,3.4,4,0.0031
100000,5e-05,1.6,4,0.0147
100000,5e-05,8.4,4,0.0043
100000,5e-05,5.1,4,0.00336
100000,5e-05,5.2,4,0.99998
100000,5e-05,7.3,4,0.00417
100000,5e-05,8.4,4,0.00412
100000,5e-05,3.1,4,0.00372
100000,5e-05,8.8,4,0.00461
100000,5e-05,1.7,4,0.99997
100000,5e-05,9.1,4,0.00456
100000,5e-05,0.8,4,0.99998
100000,5e-05,1.1,4,0.99999
100000,5e-05,0.1,4,0.99999
100000,5e-05,9.3,4,0.99999
100000,5e-05,4.2,4,0.00272
100000,5e-05,5.1,4,0.00343
100000,5e-05,3.8,4,0.00306
100000,5e-05,5.3,4,0.00341
100000,5e-05,6.3,4,0.00399
100000,5e-05,3.5,4,0.00347
100000,5e-05,2.6,4,0.00424
100000,5e-05,4.7,4,0.00352
100000,5e-05,4.9,4,0.0034
100000,5e-05,4.8,4,0.00355
100000,5e-05,7.3,4,0.00422
100000,5e-05,9.1,4,0.00425
100000,5e-05,9.8,4,0.00497
100000,5e-05,7.5,4,0.00454
100000,5e-05,5.1,4,0.00341
100000,5e-05,7.0,4,0.00445
100000,5e-05,2.7,4,0.00392
100000,5e-05,4.2,4,0.00311
100000,5e-05,7.4,4,0.00391
100000,5e-05,8.4,4,0.00455
100000,5e-05,1.4,4,0.99998
100000,5e-05,7.6,4,0.00402
100000,5e-05,3.5,4,0.00318
100000,5e-05,2.7,4,0.00391
100000,5e-05,9.0,4,0.0044
100000,5e-05,2.5,4,0.00494
100000,5e-05,1.7,4,0.01175
100000,5e-05,5.7,4,0.00386
100000,5e-05,2.9,4,0.00383
100000,5e-05,2.7,4,0.00395
100000,5e-05,3.4,4,0.00389
100000,5e-05,6.3,4,0.00376
100000,5e-05,3.1,4,0.99999
100000,5e-05,8.7,4,0.00464
100000,5e-05,7.7,4,0.00419
100000,5e-05,7.8,4,0.0042
100000,5e-05,8.6,4,0.99999
100000,5e-05,7.6,4,0.00402
100000,5e-05,0.3,4,0.99999
100000,5e-05,6.0,4,0.00341
100000,5e-05,3.3,4,0.00345
100000,5e-05,3.4,4,0.00314
100000,5e-05,4.7,4,0.00356
100000,5e-05,0.4,4,0.99999
100000,5e-05,0.8,4,0.9999
100000,5e-05,2.0,4,0.99996
100000,5e-05,8.7,4,0.00413
100000,5e-05,3.3,4,0.00331
100000,5e-05,8.5,4,0.0046
100000,5e-05,8.5,4,0.00418
100000,5e-05,2.9,4,0.00404
100000,5e-05,7.5,4,0.00404
100000,5e-05,7.2,4,0.00384
100000,5e-05,8.4,4,0.0045
100000,5e-05,5.5,4,0.00326
100000,5e-05,3.9,4,0.00348
100000,5e-05,9.0,4,0.0044
100000,5e-05,8.7,4,0.00432
100000,5e-05,4.7,4,0.00358
100000,5e-05,9.6,4,0.00451
100000,5e-05,8.7,4,0.00437
100000,5e-05,2.0,4,0.99998
100000,5e-05,0.6,4,0.99999
100000,5e-05,4.8,4,0.00338
100000,5e-05,3.1,4,0.00351
100000,5e-05,3.9,4,0.00348
100000,5e-05,4.3,4,0.00311
100000,5e-05,7.7,4,0.00417
100000,5e-05,2.7,4,0.99999
100000,5e-05,9.5,4,0.00457
100000,5e-05,1.7,4,0.01201
100000,5e-05,9.6,4,0.99997
100000,5e-05,2.2,4,0.00527
100000,5e-05,2.5,4,0.0044
100000,5e-05,9.1,4,0.00469
100000,5e-05,0.4,4,0.99999
100000,5e-05,7.8,4,0.00391
100000,5e-05,0.0,4,0.99999
100000,5e-05,0.5,4,0.99995
100000,5e-05,8.2,4,0.00485
100000,5e-05,5.5,4,0.0034
100000,5e-05,0.5,4,0.99998
100000,5e-05,8.0,4,0.00435
100000,5e-05,5.8,4,0.00351
100000,5e-05,3.9,4,0.00322
100000,5e-05,4.3,4,0.0032
100000,5e-05,8.1,4,0.00428
100000,5e-05,4.5,4,0.00341
100000,5e-05,9.0,4,0.00426
100000,5e-05,3.2,4,0.00362
100000,5e-05,3.6,4,0.00309
100000,5e-05,5.9,4,0.00348
100000,5e-05,9.5,4,0.00446
100000,5e-05,9.5,4,0.00509
100000,5e-05,7.0,4,0.00411
100000,5e-05,9.8,4,0.00472
100000,5e-05,5.9,4,0.00349
100000,5e-05,0.7,4,0.99999
100000,5e-05,4.6,4,0.00328
100000,5e-05,4.6,4,0.00313
100000,5e-05,6.2,4,0.00388
100000,5e-05,7.8,4,0.00455
100000,5e-05,8.0,4,0.00454
100000,5e-05,5.9,4,0.00375
100000,5e-05,0.4,4,0.99999
100000,5e-05,9.5,4,0.00418
100000,5e-05,1.7,4,0.99998
100000,5e-05,3.9,4,0.00297
100000,5e-05,4.2,4,0.00353
100000,5e-05,5.6,4,0.00368
100000,5e-05,1.5,4,0.99999
100000,5e-05,8.6,4,0.00415
100000,5e-05,5.7,4,0.00384
100000,5e-05,5.3,4,0.00362
100000,5e-05,9.1,4,0.0044
100000,5e-05,2.7,4,0.99999
100000,5e-05,1.9,4,0.00806
100000,5e-05,7.4,4,0.00429
100000,5e-05,2.8,4,0.99997
100000,5e-05,9.7,4,0.00471
100000,5e-05,2.9,4,0.99999
100000,5e-05,2.4,4,0.00475
100000,5e-05,6.6,4,0.00403
100000,5e-05,8.0,4,0.00453
100000,5e-05,4.0,4,0.00325
100000,5e-05,3.4,4,0.00326
100000,5e-05,1.9,4,0.00837
100000,5e-05,1.0,4,0.99988
100000,5e-05,5.9,4,0.00396
100000,5e-05,2.5,4,0.00465
100000,5e-05,2.8,4,0.00396
100000,5e-05,2.2,4,0.00619
100000,5e-05,2.8,4,0.00376
100000,5e-05,4.3,4,0.00325
100000,5e-05,5.2,4,0.00351
100000,5e-05,1.1,4,0.99999
100000,5e-05,0.8,4,0.99989
100000,5e-05,6.0,4,0.00378
100000,5e-05,2.9,4,0.00336
100000,5e-05,2.9,4,0.00336
100000,5e-05,7.1,4,0.00424
100000,5e-05,8.4,4,0.00462
100000,5e-05,0.0,4,0.99999
100000,5e-05,7.0,4,0.00399
