n,p,lambda,rho,S
100000,5e-05,1,7.2,0.99998
100000,5e-05,1,1.7,0.99999
100000,5e-05,1,3.6,0.99998
100000,5e-05,1,5.3,0.99998
100000,5e-05,1,5.7,0.99999
100000,5e-05,1,1.7,0.99998
100000,5e-05,1,6.8,0.99999
100000,5e-05,1,3.1,0.99998
100000,5e-05,1,4.0,0.99999
100000,5e-05,1,8.2,0.99999
100000,5e-05,1,2.0,0.99999
100000,5e-05,1,2.1,0.21409
100000,5e-05,1,3.9,0.99999
100000,5e-05,1,6.1,0.99998
100000,5e-05,1,2.9,0.99997
100000,5e-05,1,3.3,0.99987
100000,5e-05,1,3.0,0.99999
100000,5e-05,1,0.5,0.12162
100000,5e-05,1,2.1,0.20914
100000,5e-05,1,8.4,0.99997
100000,5e-05,1,8.0,0.99999
100000,5e-05,1,2.6,0.99998
100000,5e-05,1,7.3,0.99999
100000,5e-05,1,3.2,0.99998
100000,5e-05,1,1.6,0.99999
100000,5e-05,1,7.1,0.99997
100000,5e-05,1,5.2,0.99987
100000,5e-05,1,0.0,0.99997
100000,5e-05,1,7.7,0.99999
100000,5e-05,1,1.2,0.14945
100000,5e-05,1,1.7,0.17609
100000,5e-05,1,9.2,0.99999
100000,5e-05,1,6.9,0.99996
100000,5e-05,1,2.5,0.99941
100000,5e-05,1,2.5,0.99997
100000,5e-05,1,2.3,0.99999
100000,5e-05,1,7.4,0.99998
100000,5e-05,1,0.9,0.13499
100000,5e-05,1,4.4,0.99999
100000,5e-05,1,7.0,0.99999
100000,5e-05,1,6.9,0.99997
100000,5e-05,1,6.5,0.99997
100000,5e-05,1,0.3,0.11331
100000,5e-05,1,0.4,0.99999
100000,5e-05,1,8.4,0.99999
100000,5e-05,1,10.0,0.99999
100000,5e-05,1,7.6,0.99996
100000,5e-05,1,7.0,0.99999
100000,5e-05,1,7.1,0.99999
100000,5e-05,1,1.9,0.19698
100000,5e-05,1,4.9,0.99999
100000,5e-05,1,9.8,0.99999
100000,5e-05,1,8.3,0.99999
100000,5e-05,1,7.9,0.99999
100000,5e-05,1,1.5,0.16027
100000,5e-05,1,0.2,0.11406
100000,5e-05,1,6.4,0.99995
100000,5e-05,1,4.8,0.99997
100000,5e-05,1,9.2,0.99997
100000,5e-05,1,7.6,0.99999
100000,5e-05,1,2.0,0.20857
100000,5e-05,1,3.7,0.99993
100000,5e-05,1,4.3,0.99998
100000,5e-05,1,3.2,0.9998
100000,5e-05,1,1.1,0.14284
100000,5e-05,1,7.4,0.99999
100000,5e-05,1,2.2,0.99999
100000,5e-05,1,8.5,0.99999
100000,5e-05,1,8.4,0.99998
100000,5e-05,1,7.6,0.99999
100000,5e-05,1,7.7,0.99999
100000,5e-05,1,8.3,0.99999
100000,5e-05,1,9.2,0.99999
100000,5e-05,1,5.9,0.99998
100000,5e-05,1,6.5,0.99997
100000,5e-05,1,8.4,0.99998
100000,5e-05,1,3.8,0.99988
100000,5e-05,1,4.3,0.99997
100000,5e-05,1,1.6,0.17269
100000,5e-05,1,1.8,0.99999
100000,5e-05,1,6.7,0.99999
100000,5e-05,1,9.7,0.99999
